date,type,title
2011-05,Movie,1
2011-09,Movie,1
2011-10,Movie,11
2012-02,Movie,1
2012-11,Movie,1
2012-12,Movie,1
2013-03,TV Show,1
2013-08,TV Show,1
2013-09,Movie,1
2013-09,TV Show,1
2013-10,Movie,1
2013-10,TV Show,2
2013-11,Movie,2
2013-12,Movie,2
2014-01,Movie,2
2014-02,Movie,1
2014-02,TV Show,1
2014-04,Movie,1
2014-04,TV Show,1
2014-06,Movie,1
2014-07,Movie,1
2014-08,Movie,1
2014-09,Movie,1
2014-10,Movie,4
2014-11,Movie,2
2014-11,TV Show,3
2014-12,Movie,5
2014-12,TV Show,1
2015-01,Movie,1
2015-02,Movie,3
2015-02,TV Show,1
2015-03,Movie,3
2015-03,TV Show,2
2015-04,Movie,1
2015-04,TV Show,4
2015-05,Movie,5
2015-05,TV Show,2
2015-06,Movie,4
2015-06,TV Show,3
2015-07,Movie,5
2015-07,TV Show,3
2015-08,Movie,2
2015-09,Movie,6
2015-09,TV Show,1
2015-10,Movie,10
2015-10,TV Show,5
2015-11,Movie,2
2015-11,TV Show,2
2015-12,Movie,16
2015-12,TV Show,7
2016-01,Movie,15
2016-01,TV Show,29
2016-02,Movie,9
2016-02,TV Show,7
2016-03,Movie,14
2016-03,TV Show,3
2016-04,Movie,14
2016-04,TV Show,8
2016-05,Movie,9
2016-05,TV Show,4
2016-06,Movie,11
2016-06,TV Show,8
2016-07,Movie,19
2016-07,TV Show,10
2016-08,Movie,24
2016-08,TV Show,17
2016-09,Movie,29
2016-09,TV Show,19
2016-10,Movie,34
2016-10,TV Show,18
2016-11,Movie,28
2016-11,TV Show,18
2016-12,Movie,52
2016-12,TV Show,44
2017-01,Movie,58
2017-01,TV Show,14
2017-02,Movie,66
2017-02,TV Show,18
2017-03,Movie,102
2017-03,TV Show,38
2017-04,Movie,66
2017-04,TV Show,29
2017-05,Movie,63
2017-05,TV Show,25
2017-06,Movie,65
2017-06,TV Show,30
2017-07,Movie,46
2017-07,TV Show,34
2017-08,Movie,77
2017-08,TV Show,38
2017-09,Movie,86
2017-09,TV Show,33
2017-10,Movie,99
2017-10,TV Show,32
2017-11,Movie,57
2017-11,TV Show,31
2017-12,Movie,79
2017-12,TV Show,39
2018-01,Movie,108
2018-01,TV Show,22
2018-02,Movie,64
2018-02,TV Show,24
2018-03,Movie,137
2018-03,TV Show,38
2018-04,Movie,87
2018-04,TV Show,31
2018-05,Movie,73
2018-05,TV Show,28
2018-06,Movie,50
2018-06,TV Show,28
2018-07,Movie,127
2018-07,TV Show,30
2018-08,Movie,135
2018-08,TV Show,34
2018-09,Movie,83
2018-09,TV Show,44
2018-10,Movie,146
2018-10,TV Show,46
2018-11,Movie,119
2018-11,TV Show,41
2018-12,Movie,126
2018-12,TV Show,64
2019-01,Movie,123
2019-01,TV Show,39
2019-02,Movie,113
2019-02,TV Show,46
2019-03,Movie,119
2019-03,TV Show,60
2019-04,Movie,121
2019-04,TV Show,50
2019-05,Movie,110
2019-05,TV Show,49
2019-06,Movie,127
2019-06,TV Show,48
2019-07,Movie,102
2019-07,TV Show,67
2019-08,Movie,92
2019-08,TV Show,53
2019-09,Movie,92
2019-09,TV Show,44
2019-10,Movie,131
2019-10,TV Show,73
2019-11,Movie,195
2019-11,TV Show,77
2019-12,Movie,172
2019-12,TV Show,50
2020-01,Movie,164
2020-01,TV Show,64
2020-02,Movie,71
2020-02,TV Show,46
2020-03,Movie,96
2020-03,TV Show,56
2020-04,Movie,130
2020-04,TV Show,58
2020-05,Movie,109
2020-05,TV Show,64
2020-06,Movie,119
2020-06,TV Show,48
2020-07,Movie,103
2020-07,TV Show,53
2020-08,Movie,83
2020-08,TV Show,61
2020-09,Movie,116
2020-09,TV Show,62
2020-10,Movie,117
2020-10,TV Show,56
2020-11,Movie,103
2020-11,TV Show,55
2020-12,Movie,101
2020-12,TV Show,74
2021-01,Movie,88
2021-01,TV Show,29
